"label","uri"
"Action","http://pbcore.org/vocabularies/pbcoreGenre%23action"
"Actuality","http://pbcore.org/vocabularies/pbcoreGenre%23actuality"
"Adults Only","http://pbcore.org/vocabularies/pbcoreGenre%23adults-only"
"Adventure","http://pbcore.org/vocabularies/pbcoreGenre%23adventure"
"Advice","http://pbcore.org/vocabularies/pbcoreGenre%23advice"
"Agriculture","http://pbcore.org/vocabularies/pbcoreGenre%23agriculture"
"Animals","http://pbcore.org/vocabularies/pbcoreGenre%23animals"
"Animation","http://pbcore.org/vocabularies/pbcoreGenre%23animation"
"Anime","http://pbcore.org/vocabularies/pbcoreGenre%23anime"
"Anthology","http://pbcore.org/vocabularies/pbcoreGenre%23anthology"
"Art","http://pbcore.org/vocabularies/pbcoreGenre%23art"
"Arts/crafts","http://pbcore.org/vocabularies/pbcoreGenre%23arts-crafts"
"Auction","http://pbcore.org/vocabularies/pbcoreGenre%23auction"
"Auto","http://pbcore.org/vocabularies/pbcoreGenre%23auto"
"Aviation","http://pbcore.org/vocabularies/pbcoreGenre%23aviation"
"Awards","http://pbcore.org/vocabularies/pbcoreGenre%23awards"
"Bicycle","http://pbcore.org/vocabularies/pbcoreGenre%23bicycle"
"Biography","http://pbcore.org/vocabularies/pbcoreGenre%23biography"
"Boat","http://pbcore.org/vocabularies/pbcoreGenre%23boat"
"Business/Financial","http://pbcore.org/vocabularies/pbcoreGenre%23business-financial"
"Call-in","http://pbcore.org/vocabularies/pbcoreGenre%23call-in"
"Children","http://pbcore.org/vocabularies/pbcoreGenre%23children"
"Collectibles","http://pbcore.org/vocabularies/pbcoreGenre%23collectibles"
"Comedy","http://pbcore.org/vocabularies/pbcoreGenre%23comedy"
"Comedy-drama","http://pbcore.org/vocabularies/pbcoreGenre%23comedy-drama"
"Commentary","http://pbcore.org/vocabularies/pbcoreGenre%23commentary"
"Community","http://pbcore.org/vocabularies/pbcoreGenre%23community"
"Computers","http://pbcore.org/vocabularies/pbcoreGenre%23computers"
"Concert","http://pbcore.org/vocabularies/pbcoreGenre%23concert"
"Consumer","http://pbcore.org/vocabularies/pbcoreGenre%23consumer"
"Cooking","http://pbcore.org/vocabularies/pbcoreGenre%23cooking"
"Crime","http://pbcore.org/vocabularies/pbcoreGenre%23crime"
"Crime drama","http://pbcore.org/vocabularies/pbcoreGenre%23crime-drama"
"Dance","http://pbcore.org/vocabularies/pbcoreGenre%23dance"
"Debate","http://pbcore.org/vocabularies/pbcoreGenre%23debate"
"Docudrama","http://pbcore.org/vocabularies/pbcoreGenre%23docudrama"
"Documentary","http://pbcore.org/vocabularies/pbcoreGenre%23documentary"
"Drama","http://pbcore.org/vocabularies/pbcoreGenre%23drama"
"Educational","http://pbcore.org/vocabularies/pbcoreGenre%23educational"
"Entertainment","http://pbcore.org/vocabularies/pbcoreGenre%23entertainment"
"Environment","http://pbcore.org/vocabularies/pbcoreGenre%23environment"
"Event","http://pbcore.org/vocabularies/pbcoreGenre%23event"
